Prime,Target,Prime Syllables,Target Syllables,Target Type,Trial Type,isPrimed
HARSH,mean,1,1,real,critical,TRUE
TOAD,frog,1,1,real,critical,TRUE
PILE,stack,1,1,real,critical,TRUE
WHERE,when,1,1,real,critical,TRUE
HAT,head,1,1,real,critical,TRUE
DAMN,it,1,1,real,critical,TRUE
SMEAR,smudge,1,1,real,critical,TRUE
LOFT,bed,1,1,real,critical,TRUE
LATCH,key,1,1,real,critical,TRUE
THICK,thin,1,1,real,critical,TRUE
GLARE,stare,1,1,real,critical,TRUE
WHOM,who,1,1,real,critical,TRUE
SCREW,driver,1,2,real,critical,TRUE
FIG,newton,1,2,real,critical,TRUE
AUNT,uncle,1,2,real,critical,TRUE
DOOR,open,1,2,real,critical,TRUE
TUNE,music,1,2,real,critical,TRUE
SUB,sandwich,1,2,real,critical,TRUE
DEW,morning,1,2,real,critical,TRUE
LACE,shoelace,1,2,real,critical,TRUE
PLAIN,simple,1,2,real,critical,TRUE
USE,abuse,1,2,real,critical,TRUE
BEAD,necklace,1,2,real,critical,TRUE
WIDE,narrow,1,2,real,critical,TRUE
LODGE,cabin,1,2,real,critical,TRUE
THINKING,brain,2,1,real,critical,TRUE
FROSTING,cake,2,1,real,critical,TRUE
POEM,rhyme,2,1,real,critical,TRUE
REMOVE,take,2,1,real,critical,TRUE
SURFACE,top,2,1,real,critical,TRUE
PRINCESS,prince,2,1,real,critical,TRUE
RIGID,stiff,2,1,real,critical,TRUE
DEFROST,thaw,2,1,real,critical,TRUE
RHYTHM,beat,2,1,real,critical,TRUE
SAUCER,cup,2,1,real,critical,TRUE
SECURE,safe,2,1,real,critical,TRUE
EFFECT,cause,2,1,real,critical,TRUE
MOONLIGHT,night,2,1,real,critical,TRUE
FAILURE,success,2,2,real,critical,TRUE
IMPLODE,explode,2,2,real,critical,TRUE
PUBLIC,private,2,2,real,critical,TRUE
KLEENEX,tissue,2,2,real,critical,TRUE
LAPEL,collar,2,2,real,critical,TRUE
CLIMATE,weather,2,2,real,critical,TRUE
TULIP,flower,2,2,real,critical,TRUE
PURPOSE,reason,2,2,real,critical,TRUE
CENTER,middle,2,2,real,critical,TRUE
EXIT,enter,2,2,real,critical,TRUE
ASLEEP,awake,2,2,real,critical,TRUE
ACTRESS,actor,2,2,real,critical,TRUE
HAVE,protect,1,2,real,critical,FALSE
BOILED,own,1,1,real,critical,FALSE
WEIRD,eggs,1,1,real,critical,FALSE
NOON,sorry,1,2,real,critical,FALSE
FRISK,lunch,1,1,real,critical,FALSE
GATE,honor,1,2,real,critical,FALSE
SHARP,better,1,2,real,critical,FALSE
FLOOR,point,1,1,real,critical,FALSE
SACK,tile,1,1,real,critical,FALSE
DATE,bag,1,1,real,critical,FALSE
FOG,time,1,1,real,critical,FALSE
RAKE,mist,1,1,real,critical,FALSE
ROD,leaves,1,1,real,critical,FALSE
GULP,reel,1,1,real,critical,FALSE
WORSE,swallow,1,2,real,critical,FALSE
PARCHED,minus,1,2,real,critical,FALSE
MUSK,under,1,2,real,critical,FALSE
STREAM,cologne,1,2,real,critical,FALSE
PLUS,river,1,2,real,critical,FALSE
CLOWN,danger,1,2,real,critical,FALSE
GYM,funny,1,2,real,critical,FALSE
SEEM,workout,1,2,real,critical,FALSE
DEAD,appear,1,2,real,critical,FALSE
DIG,alive,1,2,real,critical,FALSE
ROAR,shovel,1,2,real,critical,FALSE
COWARD,lion,2,2,real,critical,FALSE
CAVERN,wimp,2,1,real,critical,FALSE
PARIS,cave,2,1,real,critical,FALSE
COLLEGE,france,2,1,real,critical,FALSE
GANDER,school,2,1,real,critical,FALSE
ILLNESS,goose,2,1,real,critical,FALSE
POCKET,sick,2,1,real,critical,FALSE
CARTON,jeans,2,1,real,critical,FALSE
VILLAGE,box,2,1,real,critical,FALSE
MAMMAL,town,2,1,real,critical,FALSE
CRESCENT,whale,2,1,real,critical,FALSE
CHARCOAL,search,2,1,real,critical,FALSE
AGAIN,grill,2,1,real,critical,FALSE
WALLET,repeat,2,2,real,critical,FALSE
CAUTION,money,2,2,real,critical,FALSE
PRESTIGE,moon,2,1,real,critical,FALSE
FRUSTRATE,fence,2,1,real,critical,FALSE
CHECKING,annoy,2,2,real,critical,FALSE
OUTDOORS,account,2,2,real,critical,FALSE
BENEATH,indoors,2,2,real,critical,FALSE
HOPELESS,strange,2,1,real,critical,FALSE
COWGIRL,homeless,2,2,real,critical,FALSE
REGRET,cowboy,2,2,real,critical,FALSE
STANDARD,thirsty,2,2,real,critical,FALSE
DEFEND,normal,2,2,real,critical,FALSE
