Prime,Target,Prime Syllables,Target Syllables,Target Type,Trial Type,isPrimed
ESTEEM,ʃ'i-ɹəs,2,2,pseudo,practice,FALSE
HIKE,TONIC,1,2,real,practice,FALSE
CRUSH,SOIL,1,1,real,practice,FALSE
CAPTION,p'ɛb,2,1,pseudo,practice,FALSE
