Prime,Target,Prime Syllables,Target Syllables,Target Type,Trial Type,isPrimed
HARSH,mean,1,1,real,critical,TRUE
TOAD,frog,1,1,real,critical,TRUE
PILE,stack,1,1,real,critical,TRUE
WHERE,when,1,1,real,critical,TRUE
HAT,head,1,1,real,critical,TRUE
DAMN,it,1,1,real,critical,TRUE
SMEAR,smudge,1,1,real,critical,TRUE
LOFT,bed,1,1,real,critical,TRUE
LATCH,key,1,1,real,critical,TRUE
THICK,thin,1,1,real,critical,TRUE
GLARE,stare,1,1,real,critical,TRUE
WHOM,who,1,1,real,critical,TRUE
SCREW,driver,1,2,real,critical,TRUE
FIG,newton,1,2,real,critical,TRUE
AUNT,uncle,1,2,real,critical,TRUE
DOOR,open,1,2,real,critical,TRUE
TUNE,music,1,2,real,critical,TRUE
SUB,sandwich,1,2,real,critical,TRUE
DEW,morning,1,2,real,critical,TRUE
LACE,shoelace,1,2,real,critical,TRUE
PLAIN,simple,1,2,real,critical,TRUE
USE,abuse,1,2,real,critical,TRUE
BEAD,necklace,1,2,real,critical,TRUE
WIDE,narrow,1,2,real,critical,TRUE
LODGE,cabin,1,2,real,critical,TRUE
COWARD,wimp,2,1,real,critical,TRUE
CAVERN,cave,2,1,real,critical,TRUE
PARIS,france,2,1,real,critical,TRUE
COLLEGE,school,2,1,real,critical,TRUE
GANDER,goose,2,1,real,critical,TRUE
ILLNESS,sick,2,1,real,critical,TRUE
POCKET,jeans,2,1,real,critical,TRUE
CARTON,box,2,1,real,critical,TRUE
VILLAGE,town,2,1,real,critical,TRUE
MAMMAL,whale,2,1,real,critical,TRUE
CRESCENT,moon,2,1,real,critical,TRUE
CHARCOAL,grill,2,1,real,critical,TRUE
AGAIN,repeat,2,2,real,critical,TRUE
WALLET,money,2,2,real,critical,TRUE
CAUTION,danger,2,2,real,critical,TRUE
PRESTIGE,honor,2,2,real,critical,TRUE
FRUSTRATE,annoy,2,2,real,critical,TRUE
CHECKING,account,2,2,real,critical,TRUE
OUTDOORS,indoors,2,2,real,critical,TRUE
BENEATH,under,2,2,real,critical,TRUE
HOPELESS,homeless,2,2,real,critical,TRUE
COWGIRL,cowboy,2,2,real,critical,TRUE
REGRET,sorry,2,2,real,critical,TRUE
STANDARD,normal,2,2,real,critical,TRUE
DEFEND,protect,2,2,real,critical,TRUE
HAVE,actor,1,2,real,critical,FALSE
BOILED,own,1,1,real,critical,FALSE
WEIRD,eggs,1,1,real,critical,FALSE
NOON,collar,1,2,real,critical,FALSE
FRISK,lunch,1,1,real,critical,FALSE
GATE,weather,1,2,real,critical,FALSE
SHARP,tissue,1,2,real,critical,FALSE
FLOOR,point,1,1,real,critical,FALSE
SACK,tile,1,1,real,critical,FALSE
DATE,bag,1,1,real,critical,FALSE
FOG,time,1,1,real,critical,FALSE
RAKE,mist,1,1,real,critical,FALSE
ROD,leaves,1,1,real,critical,FALSE
GULP,reel,1,1,real,critical,FALSE
WORSE,swallow,1,2,real,critical,FALSE
PARCHED,private,1,2,real,critical,FALSE
MUSK,night,1,1,real,critical,FALSE
STREAM,cologne,1,2,real,critical,FALSE
PLUS,river,1,2,real,critical,FALSE
CLOWN,minus,1,2,real,critical,FALSE
GYM,funny,1,2,real,critical,FALSE
SEEM,workout,1,2,real,critical,FALSE
DEAD,appear,1,2,real,critical,FALSE
DIG,alive,1,2,real,critical,FALSE
ROAR,shovel,1,2,real,critical,FALSE
THINKING,lion,2,2,real,critical,FALSE
FROSTING,brain,2,1,real,critical,FALSE
POEM,cake,2,1,real,critical,FALSE
REMOVE,rhyme,2,1,real,critical,FALSE
SURFACE,better,2,2,real,critical,FALSE
PRINCESS,stiff,2,1,real,critical,FALSE
RIGID,prince,2,1,real,critical,FALSE
DEFROST,top,2,1,real,critical,FALSE
RHYTHM,thaw,2,1,real,critical,FALSE
SAUCER,beat,2,1,real,critical,FALSE
SECURE,cause,2,1,real,critical,FALSE
EFFECT,safe,2,1,real,critical,FALSE
MOONLIGHT,take,2,1,real,critical,FALSE
FAILURE,cup,2,1,real,critical,FALSE
IMPLODE,success,2,2,real,critical,FALSE
PUBLIC,explode,2,2,real,critical,FALSE
KLEENEX,thirsty,2,2,real,critical,FALSE
LAPEL,fence,2,1,real,critical,FALSE
CLIMATE,search,2,1,real,critical,FALSE
TULIP,strange,2,1,real,critical,FALSE
PURPOSE,flower,2,2,real,critical,FALSE
CENTER,reason,2,2,real,critical,FALSE
EXIT,middle,2,2,real,critical,FALSE
ASLEEP,enter,2,2,real,critical,FALSE
ACTRESS,awake,2,2,real,critical,FALSE
